food_name_in_french,sodium_chloride_in_g_for_100g,calcium_in_mg_for_100g,chloride_in_mg_for_100g,copper_in_mg_for_100g,iron_in_mg_for_100g,iodine_in_µg_for_100g,magnesium_in_mg_for_100g,manganese_in_mg_for_100g,phosphorus_in_mg_for_100g,potassium_in_mg_for_100g,selenium_in_µg_for_100g,sodium_in_mg_for_100g,zinc_in_mg_for_100g
"Sandwich baguette, saucisson, beurre",,,,,,,,,129.0,224.0,,828.0,
"Sandwich baguette, jambon, emmental, beurre",,188.0,,,,,,,242.0,152.0,,614.0,
Sandwich (aliment moyen),,97.0,,,,,,,,184.0,,493.0,
"Toasts ou Canapés salés, garnitures diverses, préemballés",,153.0,728.0,,,,,,181.0,152.0,,445.0,
"Sandwich baguette, crudités diverses, mayonnaise",,,,,,,,,,153.0,,426.0,
"Sandwich baguette, dinde, crudités (tomate, salade), mayonnaise",,,,,,13.0,,,108.0,174.0,,446.0,
"Sandwich baguette, oeuf, crudités (tomate, salade), mayonnaise",,,,,,,,,101.0,135.0,,457.0,
"Sandwich baguette, porc, crudités (tomate, salade), mayonnaise",,,,,,,,,125.0,178.0,,449.0,1.0
"Sandwich baguette, merguez, ketchup moutarde",,,,,,,,,100.0,280.0,,851.0,
"Sandwich baguette, salami, beurre",,,,,,,,,133.0,160.0,,1070.0,
Croque-madame,,200.0,,,,,,,189.0,154.0,,515.0,
Sandwich baguette (aliment moyen),,,,,,,,,,,,615.0,
"Sandwich pain de mie, garnitures diverses, préemballé",,,740.0,,,,,,,,,463.0,
"Croque-monsieur, préemballé",,251.0,931.0,,,,,,259.0,189.0,,595.0,
"Sandwich pain de mie complet, jambon, crudités, fromage optionnel, préemballé",,,,,,,,,,,,557.0,
"Sandwich pain de mie complet, thon, crudités, mayonnaise, préemballé",,,,,,,,,,,,432.0,
"Sandwich pain de mie complet, jambon, fromage, préemballé",,205.0,,,,,,,,,,525.0,
"Sandwich pain de mie complet, poulet, crudités, mayonnaise, préemballé",,,,,,,,,,,,517.0,
"Cake salé (garniture : fromage, légumes, viande, poisson, volaille, etc.), préemballé",,170.0,425.0,,,,,,,165.0,,657.0,
"Samossa ou Samoussa, préemballé, cuit",,31.0,790.0,,,3.0,,,95.0,182.0,,493.0,
Feuilleté au poisson et / ou fruits de mer,,,,,,50.0,,,66.0,212.0,13.0,406.0,
"Spécialité chinoise type bouchée à la vapeur, préemballée, cuite",,,,,,,,,,,,540.0,
"Feuilleté aux escargots, préemballé",,,,,,,,,,,,491.0,
Feuilleté ou Friand au fromage,,119.0,546.0,,,,,,172.0,139.0,,632.0,
"Feuilleté ou Friand à la viande, préemballé",,,,,,,,,,199.0,,610.0,
"Bouchée à la reine, à la viande/volaille/quenelle",,40.0,818.0,,,,12.0,,86.0,170.0,,498.0,
Croissant au jambon,,219.0,,,,5.0,,,,216.0,,500.0,
Rouleau de printemps,,,,,,25.0,,,,87.0,5.0,116.0,
Nem ou Pâté impérial,,25.0,810.0,,,1.0,16.0,,67.0,160.0,,609.0,
"Brick garni (garniture : crevettes, légumes, volaille, viande, poisson, etc.), fait maison, cuit",,,,,,,,,115.0,183.0,,565.0,
"Bouchée à la reine, au poisson et fruits de mer",,,,,,,,,,144.0,,451.0,
Feuilleté ou Friand jambon fromage,,115.0,,,,,,,114.0,126.0,,512.0,
"Beignet de viande, volaille ou poisson, fait maison, cru",,,,,,,,,180.0,272.0,,285.0,
"Brick à l'oeuf, fait maison, cuit",,,,,,31.0,,,141.0,132.0,,538.0,
Brick au boeuf,,,,,,15.0,,,119.0,221.0,,1510.0,
"Brick à la pomme de terre, fait maison, cuit",1.0,,,,,,,,54.0,252.0,,400.0,
Feuilleté salé (aliment moyen),,,,,,,,,112.0,171.0,,574.0,
"Bouchée à la reine, garnie (aliment moyen)",,,,,,,,,,157.0,,475.0,
"Nem ou Pâté impérial, au poulet, préemballé, cuit",,29.0,637.0,,1.0,,23.0,,96.0,220.0,,477.0,
"Nem ou Pâté impérial, au porc, préemballé, cuit",,25.0,717.0,,,,23.0,,82.0,230.0,,457.0,
"Nem ou Pâté impérial, aux crevettes et/ou au crabe, préemballé, cuit",,47.0,764.0,,,,25.0,,89.0,180.0,,480.0,
"Croissant au jambon fromage, préemballé",,117.0,,,,,,,,,,510.0,
"Avocat, pulpe, cru",,,,,,,21.0,,38.0,430.0,,6.0,
"Bette ou blette, crue",,25.0,221.0,,,,17.0,,10.0,300.0,,,
"Carotte, crue",,25.0,,,,,10.0,,22.0,230.0,,43.0,
"Champignon, tout type, cru",,,,,,1.0,,,,341.0,,,
"Salade ou chicorée frisée, crue",,76.0,,,,,,,,367.0,1.0,,
"Chou rouge, cru",,36.0,,,,,,,30.0,260.0,,14.0,
"Chou-fleur, cru",,23.0,,,,,,,40.0,270.0,,6.0,
"Concombre, pulpe et peau, cru",,,,,,,,,,157.0,,,
"Courgette, pulpe et peau, crue",,,,,,,,,,262.0,,9.0,
"Cresson de fontaine, cru",,101.0,,,,,19.0,,,320.0,,,
"Céleri branche, cru",,46.0,215.0,,,,11.0,,24.0,390.0,,79.0,
"Endive, crue",,20.0,,,,,,,23.0,150.0,,,
"Fenouil, cru",,37.0,,,,,11.0,,28.0,320.0,,22.0,
"Laitue, crue",,,,,,,,,,200.0,,,
"Oignon, cru",,25.0,61.0,,,,9.0,,37.0,190.0,,39.0,
"Pissenlit, cru",,,,,,,,,66.0,397.0,,,
"Poireau, cru",,,,,,,19.0,,,208.0,,,
"Poivron, vert, jaune ou rouge, cru",,,61.0,,,,,,,155.0,,,
"Potiron, cru",,21.0,,,,,12.0,,44.0,340.0,,1.0,
"Radis rouge, cru",,15.0,,,,,,,20.0,250.0,,16.0,
"Tomate, crue",,,51.0,,,,,,,256.0,,,
"Artichaut, cru",,52.0,,,,,,,,387.0,,,
"Aubergine, crue",,,,,,,12.0,,,235.0,,,
"Cardon, cru",,70.0,,,,,42.0,,23.0,400.0,,170.0,
"Céleri-rave, cru",,40.0,104.0,,,,13.0,,56.0,500.0,,34.0,
"Champignon de Paris ou champignon de couche, cru",,,61.0,,,1.0,,,,364.0,,39.0,
"Brocoli, cru",,,89.0,,,,,,,357.0,,19.0,
"Chou de Bruxelles, cru",,,,,,,,,,436.0,,,
"Épinard, cru",,114.0,98.0,,,,,,,504.0,,,
"Haricot vert, cru",,,16.0,,,,21.0,,,224.0,,,
"Navet, pelé, cru",,40.0,,,,,,,,237.0,,42.0,
"Chou-rave, cru",,24.0,,,,,19.0,,46.0,350.0,,20.0,
"Chou vert, cru",,,,,,,18.0,,,231.0,,,
"Haricot vert, surgelé, cru",,,,,,,22.0,,,186.0,,,
"Petits pois, crus",,,,,,,,,119.0,272.0,,,1.0
"Asperge, pelée, crue",,22.0,,,,,,,52.0,202.0,1.0,,
"Chou-fleur, surgelé, cru",,,,,,,12.0,,,193.0,,,
"Épinard, surgelé, cru",,159.0,,,,,,,,398.0,,,
"Petits pois, surgelés, crus",,,20.0,,,,,,,158.0,,,
"Poivron vert, cru",,,,,,,,,17.0,160.0,,,
"Poivron rouge, cru",,,,,,,,,19.0,180.0,,,
"Radis noir, cru",,39.0,,,,,10.0,,32.0,300.0,,23.0,
"Scarole, crue",,52.0,,,,,15.0,,28.0,314.0,,22.0,
"Betterave rouge, crue",,,,,,,19.0,,,328.0,,,
"Échalote, crue",,,27.0,,,,,,46.0,220.0,,5.0,
"Mâche, crue",,41.0,,,,,19.0,,30.0,330.0,,,
"Légumes, mélange surgelé, crus",,33.0,,,,,24.0,,59.0,212.0,,39.0,
"Champignon, chanterelle ou girolle, crue",,,50.0,,,,10.0,,,449.0,,5.0,
"Champignon, morille, crue",,43.0,8.0,,,,19.0,,194.0,411.0,,21.0,
"Champignon, truffe noire, crue",,24.0,,,,,,,62.0,447.0,,66.0,
"Maïs doux, en épis, surgelé, cru",,,,,,,,,108.0,276.0,4.0,4.0,
"Oseille, crue",,44.0,,,,,103.0,,63.0,390.0,,4.0,
"Champignon, pleurote, crue",,5.0,,,,,18.0,,120.0,420.0,,,
"Chou blanc, cru",,59.0,50.0,,,,11.0,,33.0,240.0,20.0,13.0,
"Tomate verte, crue",,13.0,,,,,10.0,,28.0,204.0,,13.0,
"Batavia, crue",,26.0,,,,,,,17.0,200.0,,6.0,
"Haricot de Lima, cru",,34.0,,,,,58.0,,136.0,467.0,,8.0,
"Courge musquée, pulpe, crue",,,,,,,,,,235.0,,,
"Potimarron, pulpe, cru",,,,,,,,,33.0,243.0,,,
"Courge hokkaïdo, pulpe, crue",,,,,,,,,,436.0,,,
"Courge melonnette, pulpe, crue",,,,,,,,,,359.0,,,
"Courge doubeurre (butternut), pulpe, crue",,48.0,,,,,34.0,,33.0,352.0,,4.0,
"Courge, crue",,,,,,,,,,312.0,,,
"Courge spaghetti, pulpe, crue",,23.0,,,,,12.0,,12.0,108.0,,17.0,
"Piment, cru",,14.0,,,,,24.0,,,331.0,,8.0,
"Champignon, oronge vraie, crue",,17.0,,,,,,,89.0,320.0,,5.0,
"Champignon, cèpe, cru",,23.0,,,1.0,,12.0,,129.0,361.0,,5.0,
"Champignon, rosé des prés, cru",,10.0,,,,,,,102.0,320.0,,5.0,
"Chicorée rouge, crue",,36.0,,,,,,,30.0,180.0,,7.0,
"Chicorée verte, crue",,,,,,,17.0,,45.0,498.0,,,
"Citrouille, pulpe, crue",,21.0,,,,,12.0,,44.0,340.0,,1.0,
"Chou chinois ou pak-choi ou pé-tsai, cru",,,,,,,,,,249.0,,51.0,
"Poivron jaune, cru",,,,,,,12.0,,23.0,220.0,,,
"Laitue romaine, crue",,33.0,48.0,,,,14.0,,30.0,247.0,1.0,8.0,
"Tomate cerise, crue",,,,,,,11.0,,31.0,330.0,,,
"Pois mange-tout ou pois gourmand, cru",,,,,,,24.0,,,200.0,,4.0,
"Panais, cru",,,,,,,,,,505.0,,8.0,
"Haricot mungo germé ou pousse de ""soja"", cru",,16.0,,,,,16.0,,43.0,120.0,,,
"Tomate côtelée ou coeur de boeuf, crue",,,,,,,,,19.0,210.0,,,
"Haricot beurre, cru",,41.0,,,,,26.0,,38.0,209.0,,6.0,
"Salsifis noir, ou scorsonère d'Espagne, cru",,,,,,,,,94.0,387.0,,,
"Bambou, pousse, crue",,,,,,,3.0,,,517.0,,4.0,
"Cresson alénois, cru",,,,,,,41.0,,76.0,368.0,,,
"Laitue iceberg, crue",,,,,,,,,,179.0,,,
"Rutabaga, cru",,,,,,,17.0,,,349.0,0.0,11.0,
"Haricot beurre, surgelé, cru",,51.0,,,,,22.0,,32.0,186.0,,,
"Brocoli, surgelé, cru",,,,,,,17.0,,,231.0,,,
"Chou de Bruxelles, surgelé, cru",,34.0,,,,,22.0,,,427.0,,14.0,
"Carotte, surgelée, crue",,,,,,,12.0,,33.0,235.0,,51.0,
"Concombre, pulpe, cru",,16.0,,,,,,,25.0,140.0,,,
"Petits pois et carottes, surgelés, crus",,,,,,,18.0,,60.0,194.0,,,
"Roquette, crue",,160.0,,,,,47.0,,52.0,369.0,,27.0,
"Chou frisé, cru",,185.0,,,,,,,83.0,378.0,,,
"Champignon de Paris ou champignon de couche, surgelé, cru",,10.0,,,,,,,,,,5.0,
"Courgette, pulpe et peau, surgelée, crue",,20.0,,,,,13.0,,28.0,218.0,,,
"Crosne, surgelé, cru",,,,,,,,,,,,1.0,
"Artichaut, fond, surgelé, cru",,,,,,,,,,,,45.0,
"Maïs doux, surgelé, cru",,4.0,,,,,32.0,,87.0,294.0,,5.0,
"Navet, surgelé, cru",,23.0,,,,,10.0,,20.0,137.0,,25.0,
"Oignon, surgelé, cru",,,,,,,,,,133.0,,,
"Poireau, surgelé, cru",,63.0,,,,,,,,,,,
"Salsifis, surgelé, cru",,,,,,,,,,,,16.0,
"Oignon rouge, cru",,22.0,,,,,9.0,,29.0,190.0,,,
"Oignon jaune, cru",,13.0,,,,,,,28.0,150.0,,,
"Légumes pour potages, surgelés, crus",,37.0,,,1.0,,,,,,,,
"Julienne ou brunoise de légumes, surgelée, crue",,,,,,,,,,,,,
"Légumes pour ratatouille, surgelés",,,,,,,,,,,,34.0,
"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",,,,,,,,,,,,,
"Haricot plat, cru",,60.0,,,,,,,,,,2.0,
"Épinard, jeunes pousses pour salades, cru",,110.0,,,,60.0,44.0,,32.0,580.0,,25.0,
"Mesclun ou salade, mélange de jeunes pousses",,,,,,,,,,,,19.0,
"Tomate ronde, crue",,,,,,,7.0,,20.0,210.0,,,
"Asperge, verte, crue",,,,,1.0,,,,,267.0,,,
"Chou romanesco ou brocoli à pomme, cru",,,,,,,20.0,,62.0,300.0,,,
"Asperge, blanche ou violette, pelée, crue",,,,,,,,,,169.0,,,
"Salicorne (Salicornia sp.), fraîche",,,,,,0.0,,,,119.0,,1020.0,
"Salade sucrine, crue",,23.0,,,,,,,30.0,230.0,,,
"Salade feuille de chêne, crue",,33.0,,,,,12.0,,20.0,280.0,,9.0,
"Légumes pour couscous, surgelés, crus",,,,,,,,,,,,39.0,
"Tomate grappe, crue",,,,,,,,,20.0,200.0,,,
"Salade verte, crue, sans assaisonnement",,,61.0,,,,,,,260.0,,,
"Banane plantain, crue",,3.0,,,,,37.0,,34.0,499.0,,4.0,
"Chayote ou christophine ou chouchou, bouillie/cuite à l'eau",,13.0,,,,,12.0,,29.0,173.0,,1.0,
"Artichaut, cuit",,,,,,,,,73.0,427.0,,60.0,
"Asperge, bouillie/cuite à l'eau",,,,,,,,,,198.0,,,
"Aubergine, cuite",,,,,,1.0,15.0,,15.0,123.0,,,
"Betterave rouge, cuite",,24.0,137.0,,,,17.0,,18.0,320.0,,90.0,
"Bette ou blette, cuite",,56.0,114.0,,,,18.0,,11.0,240.0,,,
"Brocoli, cuit",,,61.0,,,,,,51.0,125.0,,39.0,
"Carotte, appertisée, égouttée",,25.0,,,,2.0,8.0,,24.0,179.0,,233.0,
"Carotte, cuite",,,,,,,,,18.0,,,,
"Champignon, tout type, appertisé, égoutté",,,,,,2.0,,,66.0,129.0,,425.0,
"Chou de Bruxelles, cuit",,,,,,,,,65.0,324.0,,,
"Chou vert, cuit",,,61.0,,,,,,33.0,190.0,,39.0,
"Chou-fleur, cuit",,,,,,,,,34.0,238.0,,,
"Coeur de palmier, appertisé, égoutté",,58.0,,,,,38.0,,65.0,177.0,,316.0,
"Courgette, pulpe et peau, cuite",,,61.0,,,,,,65.0,238.0,,39.0,
"Céleri branche, cuit",,,,,,,9.0,,25.0,284.0,,91.0,
"Céleri-rave, cuit",,,,,,,,,58.0,306.0,,,
"Épinard, cuit",,140.0,,,,,,,40.0,396.0,,,
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté",,,,,,,,,26.0,,,141.0,
"Haricot vert, cuit",,,11.0,,,,,,36.0,174.0,,,
"Navet, cuit",,,,,,,,,26.0,237.0,,29.0,
"Oignon, cuit",,,,,,1.0,13.0,,44.0,220.0,,,
"Petits pois, appertisés, égouttés",,,510.0,,,,,,,,,257.0,
"Petits pois, cuits",,,243.0,,,,,,96.0,135.0,,,
"Poireau, cuit",,,,,,,,,20.0,151.0,,,
"Potiron, appertisé, égoutté",,26.0,,,,,23.0,,35.0,206.0,,241.0,
"Salsifis, cuit",,47.0,,,,,18.0,,56.0,283.0,,16.0,
"Tomate, pelée, appertisée, égouttée",,,,,,,,,18.0,190.0,,112.0,
"Maïs doux, en épis, cuit",,3.0,,,,1.0,26.0,,77.0,218.0,,1.0,
"Macédoine de légumes, appertisée, égouttée",,,,,,,,,42.0,291.0,,243.0,
"Épinard, appertisé, égoutté",,127.0,,,,,76.0,,44.0,346.0,,322.0,
"Haricot vert, appertisé, égoutté",,,518.0,,,,13.0,,,94.0,,261.0,
"Haricot beurre, appertisé, égoutté",,25.0,,,,,15.0,,19.0,104.0,,265.0,
"Maïs doux, appertisé, égoutté",,,364.0,,,,,,,224.0,,236.0,
"Artichaut, appertisé, égoutté",,,,,,,,,,,,320.0,
"Tomate, concentré, appertisé",,,,,,,,,103.0,1010.0,,108.0,
"Haricot vert, surgelé, cuit",,51.0,,,,,19.0,,29.0,159.0,,,
"Artichaut, cuit à la vapeur sous pression",,42.0,,,,,41.0,,56.0,480.0,,27.0,
"Asperge, appertisée, égouttée",,,,,,,,,35.0,142.0,,291.0,
"Chou de Bruxelles, appertisé, égoutté",,,,,,1.0,,,53.0,252.0,,222.0,
"Céleri branche, appertisé, égoutté",,,,,,,8.0,,,281.0,1.0,213.0,
"Champignon de Paris ou champignon de couche, appertisé, égoutté",,,425.0,,,,,,47.0,,,251.0,
"Salsifis, appertisé, égoutté",,21.0,,,,,,,,173.0,,235.0,
"Poivron vert, cuit",,9.0,,,,1.0,10.0,,18.0,166.0,,2.0,
"Poivron rouge, cuit",,9.0,,,,1.0,14.0,,26.0,180.0,,,
"Petits pois et carottes, appertisés, égouttés",,23.0,,,,2.0,14.0,,46.0,100.0,,244.0,
"Chou-rave, bouilli/cuit à l'eau",,25.0,,,,,19.0,,45.0,340.0,,21.0,
"Chou rouge, bouilli/cuit à l'eau",,,,,,,,,33.0,262.0,,28.0,
"Potiron, cuit",,13.0,,,,,,,21.0,230.0,,,
"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau",,6.0,,,,,12.0,,87.0,356.0,,2.0,
"Fenouil, bouilli/cuit à l'eau",,43.0,82.0,,,10.0,,,,270.0,,,
"Épinard, surgelé, cuit",,153.0,,,,,82.0,,50.0,302.0,,97.0,
"Chou-fleur, surgelé, cuit",,17.0,,,,,9.0,,24.0,139.0,,18.0,
"Petits pois, surgelés, cuits",,24.0,12.0,,,,22.0,,77.0,110.0,1.0,72.0,
"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse",,,132.0,,,,14.0,,140.0,540.0,,11.0,
"Panais, cuit",,37.0,,,,,29.0,,69.0,367.0,,10.0,
Fondue de poireau,,,,,,,,,,,,200.0,
"Courge doubeurre (butternut), pulpe, cuite",,19.0,,,,,9.0,,14.0,133.0,,2.0,
"Courge spaghetti, pulpe, cuite",,21.0,,,,,11.0,,14.0,117.0,,18.0,
"Artichaut, coeur, appertisé, égoutté",,25.0,499.0,,,,18.0,,34.0,150.0,,310.0,
"Artichaut, fond, appertisé, égoutté",,36.0,464.0,,,,20.0,,26.0,140.0,,293.0,
"Tétragone cornue, cuite",,48.0,,,,,32.0,,22.0,102.0,,107.0,
"Rutabaga, cuit",,18.0,,,,,10.0,,41.0,216.0,,5.0,
"Tomate, pulpe, appertisée",,20.0,117.0,,,,11.0,,20.0,260.0,,,
"Tomate, purée, appertisée",,,283.0,,,,30.0,,,798.0,,239.0,
"Bambou, pousses, appertisées, égouttées",,17.0,,,,,,,,196.0,,,
"Brocoli, surgelé, cuit",,51.0,,,,,20.0,,55.0,180.0,,24.0,
"Chou de Bruxelles, surgelé, cuit",,26.0,,,,,18.0,,56.0,290.0,,15.0,
"Carotte, surgelée, cuite",,35.0,,,,,11.0,,31.0,192.0,,59.0,
"Champignon, lentin comestible ou shiitaké, cuit",,3.0,,,,,14.0,,29.0,117.0,,4.0,
"Petits pois et carottes, surgelés, cuits",,23.0,,,,,16.0,,49.0,158.0,,68.0,
"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau",,35.0,,,,,14.0,,40.0,100.0,,5.0,
"Chou frisé, cuit",,72.0,,,,,18.0,,28.0,228.0,,23.0,
"Chou chinois (pak-choi ou pé-tsai), cuit",,,,,,,,,34.0,298.0,,,
"Cardon, cuit",,72.0,,,,,43.0,,23.0,392.0,,176.0,
"Tomate, pulpe et peau, bouillie/cuite à l'eau",,11.0,,,,,9.0,,28.0,218.0,,11.0,
"Pois mange-tout ou pois gourmands, cuits",,59.0,,,,,28.0,,58.0,217.0,,5.0,
"Échalote, cuite",,28.0,,,,,14.0,,76.0,400.0,,,
"Haricots verts, purée",,,,,,,,,,,,,
"Légumes (3-4 sortes en mélange), purée",,47.0,408.0,,,,18.0,,42.0,260.0,,252.0,
"Brocoli, purée",,87.0,,,,,,,,,,,
"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",,,,,,,,,,,,350.0,
"Carotte, purée",,30.0,,,,,,,25.0,230.0,,52.0,
"Courgette, purée",,,,,,,,,,,,220.0,
"Tomate, double concentré, appertisé",,,,,,,,,,,,329.0,
"Macédoine de légumes, surgelée, pré-cuite (à recuire)",,,,,,,,,,,,,
"Poivron rouge, appertisé, égoutté",,25.0,,,,,,,19.0,156.0,,440.0,
"Asperge blanche, bouillie/cuite à l'eau",,15.0,,,,,,,29.0,120.0,,5.0,
"Céleri-rave, purée",,50.0,,,,,,,,,,,
"Petits pois, purée",,,,,,,,,,,,,
"Épinard, purée",,,,,,,,,,,,289.0,
"Tomate, pulpe et peau, rôtie/cuite au four",,10.0,,,,,13.0,,30.0,300.0,,,
"Chou romanesco ou brocoli à pomme, cuit",,32.0,,,,,13.0,,55.0,260.0,,,
"Potimarron, pulpe, cuit à l'étouffée",,18.0,,,,,10.0,,33.0,430.0,,,
"Courge musquée, pulpe, cuite",,17.0,,,,,,,17.0,340.0,,,
"Carotte, purée cuisinée à la crème, préemballée",,30.0,324.0,,,,,,21.0,190.0,,212.0,
"Asperge verte, bouillie/cuite à l'eau",,21.0,,,,,10.0,,49.0,220.0,,,
"Aubergine, pulpe et peau, rôtie/cuite au four",,13.0,,,,,20.0,,31.0,310.0,,,
"Bette ou blette, côte et feuille, bouillie/cuite à l'eau",,60.0,,,,,10.0,,18.0,160.0,,77.0,
"Brocoli, bouilli/cuit à l'eau, croquant",,42.0,,,,,12.0,,44.0,110.0,,17.0,
"Brocoli, bouilli/cuit à l'eau, fondant",,43.0,,,,,11.0,,39.0,90.0,,13.0,
"Brocoli, cuit à la vapeur",,36.0,,,,,23.0,,72.0,340.0,,16.0,
"Carotte, bouillie/cuite à l'eau, croquante",,27.0,,,,,8.0,,16.0,170.0,,45.0,
"Carotte, bouillie/cuite à l'eau, fondante",,28.0,,,,,,,17.0,140.0,,46.0,
"Carotte, cuite à la vapeur",,26.0,,,,,10.0,,19.0,240.0,,45.0,
"Chou blanc, bouilli/cuit à l'eau",,42.0,,,,,,,19.0,120.0,,7.0,
"Chou de Bruxelles, bouilli/cuit à l'eau",,35.0,,,,,19.0,,62.0,410.0,,9.0,
"Chou rouge, cuit à l'étouffée",,44.0,,,,,13.0,,26.0,250.0,,13.0,
"Chou vert, bouilli/cuit à l'eau",,48.0,,,,,,,29.0,130.0,,5.0,
"Chou-fleur, cuit à la vapeur",,26.0,,,,,12.0,,46.0,300.0,,5.0,
"Courgette, pulpe et peau, rôtie/cuite au four",,24.0,,,,,23.0,,41.0,300.0,,,
"Céleri branche, cuit à l'étouffée",,31.0,170.0,,,,,,24.0,340.0,,138.0,
"Céleri rave, bouilli/cuit à l'eau",,41.0,,,,,10.0,,38.0,300.0,,37.0,
"Endive, rôtie/cuite au four",,27.0,,,,,10.0,,27.0,180.0,,,
"Fenouil, cuit à l'étouffée",,37.0,,,,,,,16.0,210.0,,11.0,
"Haricot beurre, bouilli/cuit à l'eau",,56.0,,,,,26.0,,43.0,210.0,,,
"Haricot vert, bouilli/cuit à l'eau",,51.0,30.0,,,,26.0,,38.0,260.0,,,
"Navet, bouilli/cuit à l'eau",,32.0,,,,,,,20.0,170.0,,10.0,
"Oignon blanc ou jaune, sauté/poêlé sans matière grasse",,32.0,,,,,,,35.0,270.0,,,
"Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse",,55.0,,,,,11.0,,26.0,260.0,,,
"Oignon rouge, sauté/poêlé sans matière grasse",,26.0,,,,,10.0,,33.0,220.0,,,
"Panais, cuit à l'étouffée",,44.0,,,,,25.0,,74.0,510.0,,7.0,
"Petits pois, bouillis/cuits à l'eau",,38.0,,,,,29.0,,100.0,190.0,,9.0,
"Poireau, bouilli/cuit à l'eau",,35.0,33.0,,,,,,26.0,120.0,,,
"Poivron jaune, sauté/poêlé sans matière grasse",,,,,,,11.0,,23.0,220.0,,,
"Poivron rouge, sauté/poêlé sans matière grasse",,7.0,,,,,12.0,,25.0,240.0,,,
"Poivron vert, sauté/poêlé sans matière grasse",,,,,,,,,20.0,200.0,,,
"Potimarron, pulpe, bouilli/cuit à l'eau",,18.0,62.0,,,,,,27.0,330.0,,,
"Potiron, rôti/cuit au four",,31.0,,,,,,,14.0,330.0,,,
"Salsifis, bouilli/cuit à l'eau",,38.0,,,,,23.0,,88.0,170.0,,8.0,
"Tomate, rôtie/cuite au four",,12.0,37.0,,,,,,29.0,310.0,,,
"Échalote, sautée/poêlée sans matière grasse",,22.0,26.0,,,,11.0,,48.0,270.0,,,
"Épinard, bouilli/cuit à l'eau",,240.0,,,,,30.0,,30.0,160.0,,12.0,
"Légumes pour couscous, cuits",,39.0,,,,,15.0,,38.0,208.0,,45.0,
Légume cuit (aliment moyen),,,,,,,17.0,,,261.0,,,
"Crosne, cuit",,20.0,,,,,14.0,,58.0,310.0,,5.0,
"Gombo, fruit, cuit",,77.0,,,,,36.0,,32.0,135.0,,6.0,
"Carotte, déshydratée",,212.0,,,,,118.0,,346.0,2540.0,,275.0,
"Oignon, séché",,257.0,,,,,92.0,,303.0,1620.0,,170.0,
"Tomate, séchée",,110.0,,,,,194.0,,356.0,3430.0,,247.0,
"Champignon noir, séché",,,,,,,,,,,,,
"Champignon, lentin comestible ou shiitaké, séché",,11.0,,,,,132.0,,294.0,1530.0,,13.0,
"Tomate, séchée, à l'huile",,47.0,,,,,81.0,,139.0,1570.0,,1020.0,
"Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,,,,,,
"Chips de giraumon (variété locale), pulpe, prélevé à la Martinique",,,,,,,,,,2400.0,,,
"Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique",,,,,,,,,,2580.0,,,
"Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,
"Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,,,192.0,,,
"Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,,,198.0,,,
"Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique",,,,,,,,,,,,,
"Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique",,,,,,,,,,,,,
"Concombre, pulpe avec graines, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Concombre, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,
"Cresson, feuille, cru, prélevé à la Martinique",,,,,,,,,,432.0,,,
"Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,
"Farine de pulpe de patate douce, prélevée à la Martinique",,,,,,,,,,,,,
"Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,
"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,321.0,,,
"Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique",,,,,,,,,,347.0,,,
