food_name_in_french,retinol_in_µg_for_100g,beta_carotene_in_µg_for_100g,vitamin_d_in_µg_for_100g,vitamin_e_in_mg_for_100g,vitamin_k1_in_µg_for_100g,vitamin_k2_in_µg_for_100g,vitamin_c_in_mg_for_100g,vitamin_b1_thiamine_in_mg_for_100g,vitamin_b2_riboflavin_in_mg_for_100g,vitamin_b3_niacin_in_mg_for_100g,vitamin_b5_pantothenic_acid_in_mg_for_100g,vitamin_b6_in_mg_for_100g,vitamin_b9_total_folate_in_µg_for_100g,vitamin_b12_in_µg_for_100g
"Champignon, tout type, cru",0.0,0.0,,,0.0,,,,,,,,29.0,0.0
"Salade ou chicorée frisée, crue",0.0,3430.0,0.0,,298.0,,,,,,,,126.0,0.0
"Chou rouge, cru",0.0,,0.0,,,,,,,,,,,0.0
"Chou-fleur, cru",0.0,,0.0,,,,,,,,,,,0.0
"Concombre, pulpe et peau, cru",0.0,45.0,0.0,,,,,,,,,,,0.0
"Courgette, pulpe et peau, crue",0.0,120.0,0.0,,,,,,,,,,36.0,0.0
"Cresson de fontaine, cru",0.0,1910.0,0.0,1.0,250.0,,,,,,,,9.0,0.0
"Céleri branche, cru",0.0,,0.0,,,,,,,,,,,0.0
"Endive, crue",0.0,,0.0,,,,,,,,,,,0.0
"Fenouil, cru",0.0,,0.0,,,,,,,,,,,0.0
"Laitue, crue",0.0,3640.0,0.0,,123.0,,,,,,,,,0.0
"Oignon, cru",0.0,,0.0,,,,,,,,,,,0.0
"Pissenlit, cru",0.0,5850.0,0.0,,778.0,,,,,,,,27.0,0.0
"Poireau, cru",0.0,1000.0,0.0,,47.0,,,,,,,,73.0,0.0
"Poivron, vert, jaune ou rouge, cru",,834.0,,,,,121.0,,,,,,,
"Potiron, cru",0.0,3100.0,0.0,,,,9.0,,,,,,16.0,0.0
"Radis rouge, cru",0.0,,0.0,,,,,,,,,,,0.0
"Tomate, crue",0.0,449.0,0.0,,,,,,,,,,,0.0
"Artichaut, cru",0.0,8.0,0.0,,,,,,,,,,68.0,0.0
"Aubergine, crue",0.0,14.0,0.0,,,,,,,,,,,0.0
"Cardon, cru",0.0,,0.0,,,,2.0,,,,,,68.0,0.0
"Céleri-rave, cru",0.0,,0.0,,,,,,,,,,39.0,0.0
"Champignon de Paris ou champignon de couche, cru",0.0,0.0,,,0.0,,,,,5.0,,,,0.0
"Brocoli, cru",0.0,361.0,0.0,,181.0,,106.0,,,,,,153.0,0.0
"Chou de Bruxelles, cru",0.0,450.0,0.0,,214.0,,103.0,,,,,,,0.0
"Épinard, cru",0.0,5630.0,0.0,,521.0,,,,,,,,207.0,0.0
"Haricot vert, cru",0.0,379.0,0.0,,,,,,,,,,,0.0
"Navet, pelé, cru",0.0,0.0,0.0,,,,,,,,,,,0.0
"Chou-rave, cru",0.0,22.0,0.0,,,,,,,,,,16.0,0.0
"Chou vert, cru",0.0,321.0,0.0,,121.0,,69.0,,,,,,,0.0
"Haricot vert, surgelé, cru",0.0,292.0,0.0,,,,18.0,,,,,,,0.0
"Petits pois, crus",0.0,449.0,0.0,,,,,,,,,,45.0,0.0
"Asperge, pelée, crue",0.0,449.0,0.0,,,,,,,,,,101.0,0.0
"Chou-fleur, surgelé, cru",0.0,7.0,0.0,,,,,,,,,,64.0,0.0
"Épinard, surgelé, cru",0.0,7040.0,0.0,,356.0,,,,,,,,183.0,0.0
"Petits pois, surgelés, crus",0.0,1230.0,0.0,,49.0,,,,,,,,87.0,0.0
"Poivron vert, cru",0.0,154.0,0.0,,,,,,,,,,,0.0
"Poivron rouge, cru",0.0,554.0,0.0,,,,121.0,,,,,,,0.0
"Radis noir, cru",,,0.0,,,,,,,,,,,
"Scarole, crue",0.0,1500.0,,,,,,,,,,,142.0,0.0
"Betterave rouge, crue",0.0,20.0,0.0,,,,,,,,,,100.0,0.0
"Échalote, crue",0.0,,0.0,,,,8.0,,,,,,,0.0
"Mâche, crue",0.0,3280.0,0.0,,,,,,,,,,,0.0
"Légumes, mélange surgelé, crus",0.0,500.0,0.0,,,,,,,,,,29.0,
"Champignon, chanterelle ou girolle, crue",0.0,,,,,,,,,,,,2.0,0.0
"Champignon, morille, crue",,0.0,,,,,5.0,,,,,,9.0,
"Champignon, truffe noire, crue",0.0,,0.0,,,,1.0,,,2.0,,,44.0,
"Maïs doux, en épis, surgelé, cru",0.0,61.0,0.0,,,,,,,,,,,0.0
"Oseille, crue",0.0,,0.0,,,,48.0,,,,,,13.0,0.0
"Champignon, pleurote, crue",0.0,29.0,,0.0,0.0,,4.0,,,,,,38.0,0.0
"Chou blanc, cru",0.0,,0.0,,,,,,,,,,,0.0
"Tomate verte, crue",0.0,346.0,0.0,,,,,,,,,,9.0,0.0
"Batavia, crue",,891.0,,,,,,,,,,,,
"Haricot de Lima, cru",0.0,126.0,0.0,,,,,,,,,,34.0,0.0
"Courge musquée, pulpe, crue",,,,,,,,,,,,,,
"Potimarron, pulpe, cru",0.0,,0.0,,,,5.0,,,,,,36.0,0.0
"Courge hokkaïdo, pulpe, crue",,,,,,,,,,,,,,
"Courge melonnette, pulpe, crue",,,,,,,,,,,,,,
"Courge doubeurre (butternut), pulpe, crue",0.0,4230.0,0.0,,,,21.0,,,,,,27.0,0.0
"Courge, crue",0.0,820.0,0.0,,,,,,,,,,34.0,0.0
"Courge spaghetti, pulpe, crue",0.0,64.0,0.0,,,,,,,,,,12.0,0.0
"Piment, cru",0.0,534.0,0.0,,14.0,,155.0,,,,,,23.0,0.0
"Champignon, oronge vraie, crue",0.0,,,,,,3.0,,,4.0,,,44.0,
"Champignon, cèpe, cru",0.0,,,,,,3.0,,,,,,44.0,
"Champignon, rosé des prés, cru",0.0,,0.0,,,,4.0,,,,,,44.0,
"Chicorée rouge, crue",0.0,,0.0,,,,10.0,,,,,,13.0,
"Chicorée verte, crue",0.0,3250.0,0.0,,,,46.0,,,,,,29.0,
"Citrouille, pulpe, crue",0.0,3100.0,0.0,,,,9.0,,,,,,16.0,0.0
"Chou chinois ou pak-choi ou pé-tsai, cru",0.0,2680.0,0.0,,,,,,,,,,,0.0
"Poivron jaune, cru",0.0,642.0,0.0,,,,121.0,,,,,,,0.0
"Laitue romaine, crue",0.0,5230.0,0.0,,103.0,,14.0,,,,,,136.0,0.0
"Tomate cerise, crue",0.0,1360.0,0.0,,,,,,,,,,,0.0
"Pois mange-tout ou pois gourmand, cru",0.0,630.0,0.0,,25.0,,60.0,,,,,,42.0,0.0
"Panais, cru",0.0,0.0,0.0,,,,,,,,,,67.0,0.0
"Haricot mungo germé ou pousse de ""soja"", cru",0.0,,,,,,,,,,,,,0.0
"Tomate côtelée ou coeur de boeuf, crue",,825.0,,,,,,,,,,,,
"Haricot beurre, cru",0.0,,0.0,,,,,,,,,,,0.0
"Salsifis noir, ou scorsonère d'Espagne, cru",0.0,,0.0,,,,3.0,,,,,,,0.0
"Bambou, pousse, crue",0.0,12.0,0.0,1.0,0.0,,,,,,,,7.0,0.0
"Cresson alénois, cru",0.0,4150.0,0.0,,542.0,,52.0,,,,,,95.0,0.0
"Laitue iceberg, crue",0.0,299.0,0.0,,,,,,,,,,48.0,0.0
"Rutabaga, cru",0.0,1.0,0.0,,,,33.0,,,,,,24.0,0.0
"Haricot beurre, surgelé, cru",0.0,,0.0,,,,16.0,,,,,,15.0,0.0
"Brocoli, surgelé, cru",0.0,675.0,0.0,,101.0,,,,,,,,,0.0
"Chou de Bruxelles, surgelé, cru",0.0,370.0,0.0,,250.0,,,,,,,,,0.0
"Carotte, surgelée, crue",0.0,12800.0,0.0,,,,,,,,,,10.0,0.0
"Concombre, pulpe, cru",0.0,,0.0,,,,,,,,,,,0.0
"Petits pois et carottes, surgelés, crus",0.0,,0.0,,,,,,,,,,36.0,0.0
"Roquette, crue",0.0,1420.0,0.0,,109.0,,15.0,,,,,,97.0,0.0
"Chou frisé, cru",0.0,5930.0,0.0,,477.0,,145.0,,,,,,101.0,0.0
"Champignon de Paris ou champignon de couche, surgelé, cru",,,,,,,4.0,,,,,,,
"Courgette, pulpe et peau, surgelée, crue",0.0,119.0,0.0,,,,,,,,,,10.0,0.0
"Crosne, surgelé, cru",,,,,,,,,,,,,,
"Artichaut, fond, surgelé, cru",,,,,,,,,,,,,,
"Maïs doux, surgelé, cru",0.0,61.0,0.0,,,,,,,,,,40.0,0.0
"Navet, surgelé, cru",0.0,,0.0,,,,,,,,,,8.0,0.0
"Oignon, surgelé, cru",0.0,1.0,0.0,,,,,,,,,,19.0,0.0
"Poireau, surgelé, cru",,,,,,,26.0,,,,,,,
"Salsifis, surgelé, cru",,,,,,,,,,,,,,
"Oignon rouge, cru",,,,,,,,,,,,,,
"Oignon jaune, cru",,,,,,,,,,,,,13.0,
"Légumes pour potages, surgelés, crus",,,,,,,25.0,,,,,,,
"Julienne ou brunoise de légumes, surgelée, crue",,,,,,,9.0,,,,,,,
"Légumes pour ratatouille, surgelés",,,,,,,,,,,,,,
"Printanière de légumes, surgelée, crue (haricots verts, carottes, pomme de terre, petits pois, oignons)",,,,,,,16.0,,,,,,,
"Haricot plat, cru",,,,,,,16.0,,,,,,,
"Épinard, jeunes pousses pour salades, cru",,2810.0,,,,,,,,,,,,
"Mesclun ou salade, mélange de jeunes pousses",,,,,,,,,,,,,,
"Tomate ronde, crue",,807.0,,,,,,,,,,,,
"Asperge, verte, crue",0.0,,0.0,,,,,,,,,,150.0,0.0
"Chou romanesco ou brocoli à pomme, cru",0.0,93.0,0.0,,,,,,,,,,57.0,0.0
"Asperge, blanche ou violette, pelée, crue",0.0,,0.0,,,,18.0,,,,,,150.0,0.0
"Salicorne (Salicornia sp.), fraîche",,,,,,,,,,,,,,
"Salade sucrine, crue",,181.0,,,,,,,,,,,,
"Salade feuille de chêne, crue",,854.0,,,,,,,,,,,,
"Légumes pour couscous, surgelés, crus",,,,,,,,,,,,,,
"Tomate grappe, crue",,966.0,,,,,,,,,,,15.0,
"Salade verte, crue, sans assaisonnement",0.0,2000.0,,,,,,,,,,,,0.0
"Banane plantain, crue",0.0,457.0,0.0,,,,,,,,,,22.0,0.0
"Chayote ou christophine ou chouchou, bouillie/cuite à l'eau",0.0,,0.0,,,,8.0,,,,,,18.0,0.0
"Artichaut, cuit",0.0,8.0,0.0,,,,,,,,,,89.0,0.0
"Asperge, bouillie/cuite à l'eau",0.0,544.0,0.0,,,,,,,,,,142.0,0.0
"Aubergine, cuite",0.0,22.0,0.0,,,,,,,,,,14.0,0.0
"Betterave rouge, cuite",0.0,,0.0,,,,,,,,,,,0.0
"Bette ou blette, cuite",0.0,,,,327.0,,,,,,,,,0.0
"Brocoli, cuit",0.0,312.0,0.0,,141.0,,,,,,,,,0.0
"Carotte, appertisée, égouttée",0.0,5330.0,0.0,,,,,,,,,,9.0,0.0
"Carotte, cuite",0.0,3340.0,0.0,,,,,,,,,,,0.0
"Champignon, tout type, appertisé, égoutté",0.0,0.0,,,0.0,,0.0,,,,,,12.0,0.0
"Chou de Bruxelles, cuit",0.0,209.0,0.0,,140.0,,,,,,,,113.0,0.0
"Chou vert, cuit",0.0,48.0,0.0,,109.0,,,,,,,,38.0,0.0
"Chou-fleur, cuit",0.0,,0.0,,,,,,,,,,,0.0
"Coeur de palmier, appertisé, égoutté",0.0,,0.0,,,,,,,,,,39.0,0.0
"Courgette, pulpe et peau, cuite",0.0,173.0,0.0,,,,,,,,,,,0.0
"Céleri branche, cuit",0.0,313.0,0.0,,,,,,,,,,33.0,0.0
"Céleri-rave, cuit",0.0,,0.0,,,,,,,,,,,0.0
"Épinard, cuit",0.0,1610.0,0.0,,494.0,,,,,,,,125.0,0.0
"Haricot mungo germé ou pousse de ""soja"", appertisé, égoutté",0.0,2.0,0.0,,,,,,,,,,26.0,0.0
"Haricot vert, cuit",0.0,137.0,0.0,,16.0,,5.0,,,,,,33.0,0.0
"Navet, cuit",0.0,,0.0,,,,,,,,,,9.0,0.0
"Oignon, cuit",0.0,,0.0,,,,,,,,,,21.0,0.0
"Petits pois, appertisés, égouttés",0.0,514.0,0.0,,,,,,,,,,,0.0
"Petits pois, cuits",0.0,414.0,0.0,,,,,,,,,,,0.0
"Poireau, cuit",0.0,94.0,0.0,,,,,,,,,,,0.0
"Potiron, appertisé, égoutté",0.0,6940.0,0.0,,16.0,,,,,,,,12.0,0.0
"Salsifis, cuit",0.0,0.0,0.0,,,,,,,,,,15.0,0.0
"Tomate, pelée, appertisée, égouttée",0.0,245.0,0.0,,,,12.0,,,,,,16.0,0.0
"Maïs doux, en épis, cuit",0.0,66.0,0.0,,,,,,,,,,23.0,0.0
"Macédoine de légumes, appertisée, égouttée",0.0,5670.0,0.0,,,,5.0,,,,,,24.0,0.0
"Épinard, appertisé, égoutté",0.0,5880.0,0.0,,462.0,,,,,,,,98.0,0.0
"Haricot vert, appertisé, égoutté",0.0,122.0,0.0,,,,,,,,,,,0.0
"Haricot beurre, appertisé, égoutté",0.0,63.0,0.0,,,,,,,,,,66.0,0.0
"Maïs doux, appertisé, égoutté",0.0,22.0,0.0,,0.0,,,,,,,,75.0,0.0
"Artichaut, appertisé, égoutté",,,,,,,,,,,,,,
"Tomate, concentré, appertisé",0.0,784.0,0.0,,,,,,,,,,58.0,0.0
"Haricot vert, surgelé, cuit",0.0,334.0,0.0,,,,,,,,,,23.0,0.0
"Artichaut, cuit à la vapeur sous pression",,,,,,,,,,,,,,
"Asperge, appertisée, égouttée",0.0,493.0,0.0,,,,,,,,,,72.0,0.0
"Chou de Bruxelles, appertisé, égoutté",0.0,465.0,0.0,,,,18.0,,,,,,,0.0
"Céleri branche, appertisé, égoutté",,56.0,,,,,,,,,,,,
"Champignon de Paris ou champignon de couche, appertisé, égoutté",0.0,10.0,0.0,0.0,0.0,,,,,,,,,0.0
"Salsifis, appertisé, égoutté",,19.0,,,,,,,,,,,,
"Poivron vert, cuit",0.0,264.0,0.0,,,,,,,,,,16.0,0.0
"Poivron rouge, cuit",0.0,,,,,,81.0,,,,,,11.0,
"Petits pois et carottes, appertisés, égouttés",0.0,3000.0,0.0,,,,,,,,,,18.0,0.0
"Chou-rave, bouilli/cuit à l'eau",0.0,21.0,0.0,,,,54.0,,,,,,12.0,0.0
"Chou rouge, bouilli/cuit à l'eau",0.0,20.0,0.0,,,,,,,,,,24.0,0.0
"Potiron, cuit",0.0,6020.0,,,,,,,,,,,,0.0
"Champignon de Paris ou champignon de couche, bouilli/cuit à l'eau",0.0,0.0,,,0.0,,4.0,,,,,,18.0,0.0
"Fenouil, bouilli/cuit à l'eau",0.0,14.0,0.0,,,,,,,,,,,0.0
"Épinard, surgelé, cuit",0.0,7240.0,0.0,,541.0,,,,,,,,121.0,0.0
"Chou-fleur, surgelé, cuit",0.0,6.0,0.0,,,,,,,,,,41.0,0.0
"Petits pois, surgelés, cuits",0.0,1250.0,0.0,,24.0,,,,,,,,59.0,0.0
"Champignon de Paris ou champignon de couche, sauté/poêlé, sans matière grasse",0.0,,,,,,,,,,,,,0.0
"Panais, cuit",0.0,0.0,0.0,1.0,1.0,,13.0,,,,,,58.0,0.0
Fondue de poireau,,,,,,,,,,,,,,
"Courge doubeurre (butternut), pulpe, cuite",0.0,,0.0,,,,,,,,,,16.0,0.0
"Courge spaghetti, pulpe, cuite",0.0,59.0,0.0,,,,,,,,,,8.0,0.0
"Artichaut, coeur, appertisé, égoutté",,,,,,,,,,,,,,
"Artichaut, fond, appertisé, égoutté",,,,,,,18.0,,,,,,,
"Tétragone cornue, cuite",0.0,,0.0,,292.0,,16.0,,,,,,8.0,0.0
"Rutabaga, cuit",0.0,1.0,0.0,,,,,,,,,,15.0,0.0
"Tomate, pulpe, appertisée",0.0,1980.0,,,,,,,,,,,,0.0
"Tomate, purée, appertisée",0.0,,0.0,,,,9.0,,,,,,72.0,0.0
"Bambou, pousses, appertisées, égouttées",0.0,8.0,0.0,,0.0,,,,,,,,,0.0
"Brocoli, surgelé, cuit",0.0,597.0,0.0,,,,,,,,,,30.0,0.0
"Chou de Bruxelles, surgelé, cuit",0.0,555.0,0.0,,194.0,,,,,,,,101.0,0.0
"Carotte, surgelée, cuite",0.0,8200.0,0.0,,,,,,,,,,11.0,0.0
"Champignon, lentin comestible ou shiitaké, cuit",0.0,0.0,,0.0,0.0,,,,,,,,21.0,0.0
"Petits pois et carottes, surgelés, cuits",0.0,4730.0,0.0,,,,,,,,,,26.0,0.0
"Pois mange-tout ou pois gourmand, bouilli/cuit à l'eau",0.0,501.0,,,,,,,,,,,56.0,0.0
"Chou frisé, cuit",0.0,,0.0,,817.0,,41.0,,,,,,13.0,0.0
"Chou chinois (pak-choi ou pé-tsai), cuit",0.0,2550.0,0.0,,34.0,,,,,,,,47.0,0.0
"Cardon, cuit",0.0,,0.0,,,,,,,,,,22.0,0.0
"Tomate, pulpe et peau, bouillie/cuite à l'eau",0.0,293.0,0.0,,,,,,,,,,13.0,0.0
"Pois mange-tout ou pois gourmands, cuits",0.0,760.0,0.0,,,,22.0,,,,,,35.0,0.0
"Échalote, cuite",,,,,,,,,,,,,,
"Haricots verts, purée",,,,,,,,,,,,,,
"Légumes (3-4 sortes en mélange), purée",,1040.0,,,,,,,,,,,19.0,
"Brocoli, purée",,,,,,,90.0,,,,,,,
"Tomate, coulis, appertisé (purée de tomates mi-réduite à 11%)",,,,,,,,,,,,,,
"Carotte, purée",,6060.0,,,,,,,,,,,,
"Courgette, purée",,,,,,,,,,,,,,
"Tomate, double concentré, appertisé",,,,,,,,,,,,,,
"Macédoine de légumes, surgelée, pré-cuite (à recuire)",,,,,,,,,,,,,,
"Poivron rouge, appertisé, égoutté",0.0,1530.0,0.0,,,,109.0,,,,,,34.0,0.0
"Asperge blanche, bouillie/cuite à l'eau",,,,,,,,,,,,,,
"Céleri-rave, purée",,,,,,,,,,,,,,
"Petits pois, purée",,,,,,,,,,,,,,
"Épinard, purée",,,,,,,,,,,,,94.0,
"Tomate, pulpe et peau, rôtie/cuite au four",,359.0,,,,,,,,,,,30.0,
"Chou romanesco ou brocoli à pomme, cuit",,,,,,,,,,,,,,
"Potimarron, pulpe, cuit à l'étouffée",,1000.0,,,,,,,,,,,,
"Courge musquée, pulpe, cuite",,1150.0,,,,,,,,,,,,
"Carotte, purée cuisinée à la crème, préemballée",,7330.0,,1.0,,,,,,,,,,
"Asperge verte, bouillie/cuite à l'eau",,438.0,,,,,,,,,,,,
"Aubergine, pulpe et peau, rôtie/cuite au four",,,,,,,,,,,,,,
"Bette ou blette, côte et feuille, bouillie/cuite à l'eau",,1260.0,,,,,,,,,,,,
"Brocoli, bouilli/cuit à l'eau, croquant",,663.0,,,,,,,,,,,,
"Brocoli, bouilli/cuit à l'eau, fondant",,576.0,,,,,,,,,,,,
"Brocoli, cuit à la vapeur",,567.0,,,,,,,,,,,,
"Carotte, bouillie/cuite à l'eau, croquante",,8470.0,,,,,,,,,,,,
"Carotte, bouillie/cuite à l'eau, fondante",,8700.0,,,,,,,,,,,,
"Carotte, cuite à la vapeur",,8930.0,,,,,,,,,,,,
"Chou blanc, bouilli/cuit à l'eau",,,,,13.0,,,,,,,,,
"Chou de Bruxelles, bouilli/cuit à l'eau",,216.0,,,,,,,,,,,,
"Chou rouge, cuit à l'étouffée",,,,,,,,,,,,,,
"Chou vert, bouilli/cuit à l'eau",,130.0,,,,,12.0,,,,,,,
"Chou-fleur, cuit à la vapeur",,,,,,,,,,,,,,
"Courgette, pulpe et peau, rôtie/cuite au four",,415.0,,,,,,,,,,,,
"Céleri branche, cuit à l'étouffée",,,,,,,,,,,,,,
"Céleri rave, bouilli/cuit à l'eau",,,,,,,,,,,,,,
"Endive, rôtie/cuite au four",,,,,,,,,,,,,,
"Fenouil, cuit à l'étouffée",,12.0,,,,,,,,,,,,
"Haricot beurre, bouilli/cuit à l'eau",,,,,,,,,,,,,,
"Haricot vert, bouilli/cuit à l'eau",,407.0,,,,,,,,,,,,
"Navet, bouilli/cuit à l'eau",,,,,,,,,,,,,,
"Oignon blanc ou jaune, sauté/poêlé sans matière grasse",,,,,,,,,,,,,,
"Oignon nouveau ou oignon frais ou cébette, sauté/poêlé sans matière grasse",,137.0,,,,,,,,,,,,
"Oignon rouge, sauté/poêlé sans matière grasse",,,,,,,,,,,,,,
"Panais, cuit à l'étouffée",,,,,,,,,,,,,,
"Petits pois, bouillis/cuits à l'eau",,316.0,,,,,,,,,,,,
"Poireau, bouilli/cuit à l'eau",,343.0,,,,,,,,,,,,
"Poivron jaune, sauté/poêlé sans matière grasse",,837.0,,,,,126.0,,,,,,,
"Poivron rouge, sauté/poêlé sans matière grasse",,7120.0,,,,,144.0,,,,,,,
"Poivron vert, sauté/poêlé sans matière grasse",,199.0,,,,,,,,,,,,
"Potimarron, pulpe, bouilli/cuit à l'eau",,5310.0,,,,,,,,,,,,
"Potiron, rôti/cuit au four",,5860.0,,,,,,,,,,,10.0,
"Salsifis, bouilli/cuit à l'eau",,,,,,,,,,,,,,
"Tomate, rôtie/cuite au four",,567.0,,,,,,,,,,,,
"Échalote, sautée/poêlée sans matière grasse",,,,,,,,,,,,,,
"Épinard, bouilli/cuit à l'eau",,6680.0,,,,,,,,,,,,
"Légumes pour couscous, cuits",0.0,2750.0,0.0,,,,18.0,,,,,,26.0,0.0
Légume cuit (aliment moyen),0.0,932.0,,,,,,,,,,,,0.0
"Crosne, cuit",,,,,,,,,,,,,,
"Gombo, fruit, cuit",0.0,170.0,0.0,,40.0,,,,,,,,46.0,0.0
"Carotte, déshydratée",0.0,34000.0,0.0,,108.0,,,,,,,,55.0,0.0
"Oignon, séché",0.0,11.0,0.0,,,,75.0,,,,,,166.0,0.0
"Tomate, séchée",0.0,524.0,0.0,,43.0,,,,,,,,68.0,0.0
"Champignon noir, séché",,,,,,,,,,,,,,
"Champignon, lentin comestible ou shiitaké, séché",0.0,0.0,,0.0,0.0,,,,,,,,163.0,0.0
"Tomate, séchée, à l'huile",0.0,,0.0,,,,102.0,,,,,,23.0,0.0
"Banane jaune, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,,,,,,,
"Chips de giraumon (variété locale), pulpe, prélevé à la Martinique",,326.0,,,,,,,,,,,,
"Chips de giraumon (variété phoenix), pulpe, prélevé à la Martinique",,767.0,,,,,,,,,,,,
"Chou dur ou chou caraïbe, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Christophine à peau blanche, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,,,,,,,
"Christophine à peau verte, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,,,,,,,
"Christophine blanche, pulpe, appertisée, non égouttée, prélevée à la Martinique",,,,,,,,,,,,,,
"Christophine, pulpe, cuite à la vapeur, surgelée, prélevée à la Martinique",,,,,,,,,,,,,,
"Concombre, pulpe avec graines, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Concombre, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Cresson, feuille, cru, prélevé à la Martinique",,1060.0,,,,,,,,,,,,
"Dachine, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Farine de pulpe de patate douce, prélevée à la Martinique",,483.0,,,,,0.0,,,,,,,
"Fruit à pain, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Giraumon (variété locale), pulpe, cuit à la vapeur, prélevé à la Martinique",,1710.0,,,,,,,,,,,,
"Giraumon (variété locale), pulpe, cuit à la vapeur, surgelé, prélevé à la Martinique",,257.0,,,,,,,,,,,,
"Giraumon (variété locale), pulpe, râpé, cru, prélevé à la Martinique",,747.0,,,,,,,,,,,,
"Giraumon (variété phoenix), pulpe, cuit à la vapeur, prélevé à la Martinique",,1430.0,,,,,,,,,,,,
"Giraumon (variété phoenix), pulpe, râpé, cru, prélevé à la Martinique",,320.0,,,,,,,,,,,,
"Giraumon (variété phoenix), pulpe, surgelé, cuit à la vapeur, prélevé à la Martinique",,441.0,,,,,,,,,,,,
"Gombo, entier, appertisé, non égoutté, prélevé à la Martinique",,,,,,,,,,,,,,
"Gombo, entier, cuit à la vapeur, prélevé à la Martinique",,163.0,,,,,3.0,,,,,,107.0,
"Gombo, pulpe, blanchi, surgelé, prélevé à la Martinique",,,,,,,,,,,,,,
"Igname cousse-couche, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Igname jaune, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Igname saint martin, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,22.0,,,,,,,
"Topinambour, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Kamanioc, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Massissi, pulpe, cru, prélevé à la Martinique",,,,,,,,,,,,,,
"Papaye, pulpe, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Papaye, pulpe, cuite à la vapeur, prélevée à la Martinique",,,,,,,,,,,,,,
"Patate douce, pulpe, blanchie, surgelée, prélevée à la Martinique",,130.0,,,,,4.0,,,,,,,
"Patate douce, pulpe, cuite à la vapeur, prélevée à la Martinique",,645.0,,,,,,,,,,,,
"Pois d'angole, entier, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Ti nain, pulpe, cuit à la vapeur, prélevé à la Martinique",,,,,,,,,,,,,,
"Tomate, entière, crue, prélevée à la Martinique",,,,,,,,,,,,,,
"Brèdes chou de Chine ou bok choy ou pak choï, tiges et feuilles, cuites à la vapeur, prélevées à La Réunion (Brassica rapa subsp. Chinensis)",,1760.0,,,,,,,,,,,,
"Chayote ou christophine ou chouchou, pulpe avec pépins, cuite à la vapeur, prélevée à La Réunion (Sechium edule)",,,,,,,,,,,,,,
"Tapioca ou Perles du Japon, cru",0.0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,,4.0,0.0
"Pomme de terre, sans peau, rôtie/cuite au four",0.0,0.0,0.0,,,,,,,,,,9.0,0.0
"Pomme de terre, bouillie/cuite à l'eau",0.0,2.0,0.0,,,,,,,,,,,0.0
"Chips de pommes de terre nature ou aromatisées, standard",,,,,,,,,,,,,,0.0
"Pomme de terre nouvelle, bouillie/cuite à l'eau",0.0,,0.0,,,,15.0,,,,,,,0.0
"Pomme de terre, sans peau, crue",0.0,1.0,0.0,,,,,,,,,,26.0,0.0
"Pomme de terre, appertisée, égouttée",0.0,,0.0,,,,,,,,,,6.0,0.0
"Pomme de terre noisette, surgelée, crue",,3.0,0.0,,,,8.0,,,,,,28.0,
"Pomme de terre vapeur, sous vide",,,,,,,,,,,,,,
"Pomme de terre poêlée, avec matière grasse",,,,,,,,,,,,,26.0,
"Pomme de terre, flocons déshydratés, au lait ou à la crème",17.0,10.0,0.0,,,,,,,,,,30.0,0.0
"Pomme de terre, purée à base de flocons, reconstituée avec lait entier, matière grasse",,,,,,,,,,,,,,
"Pomme de terre, purée, avec lait et beurre, non salée",22.0,,,,,,,,,,,,8.0,
"Pomme de terre, purée à base de flocons, reconstituée avec lait demi-écrémé et eau, non salée",,3.0,,,,,,,,,,,,
"Pomme de terre dauphine, surgelée, crue",,,,,,,,,,,,,,
"Pomme de terre dauphine, surgelée, cuite",,,,,,,,,,,,,,
"Pomme de terre, flocons déshydratés, nature",0.0,6.0,0.0,,,,59.0,,,,,,38.0,0.0
"Pomme de terre nouvelle, crue",0.0,,0.0,,,,22.0,,,,,,25.0,0.0
"Potatoes ou Wedges ou Quartiers de pommes de terre épicés, surgelées, cuites",,18.0,,,,,,,,,,,,
"Pomme de terre, rôtie/cuite au four",0.0,6.0,0.0,,2.0,,,,,,,,28.0,0.0
"Pomme de terre sautée/rissolée, pré-frite, surgelée, cuite",,,,,,,,,,,,,14.0,
